lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
new,10707,8737,207,350,0.5914285714285714,88.0,Newari,नेपाल भाषा,72339.0,164703.0,866390.0,2.0,27571.0,25.0,0.0,8.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
pnb,10674,8228,4615,1421,3.24771287825475,87.0,Western Punjabi,پنجابی,72501.0,130946.0,657612.0,2.0,37398.0,69.0,31.0,3.0,55.0,18.0,1454.0,19.0,135.0,0.4205607476635514,True,100.0,0.6802721088435374,low
lmo,10308,7364,555,426,1.3028169014084507,85.0,Lombard,lombard,73780.0,146787.0,1263990.0,5.0,42904.0,44.0,4435.0,8.0,0.0,0.0,0.0,26.0,118.5,0.3691588785046729,False,,1.0,low
zh-min-nan,9590,6403,569,852,0.6678403755868545,33.0,Minnan,Bân-lâm-gú,432995.0,1069525.0,3199742.0,6.0,61404.0,95.0,335.0,6.0,14.0,6.0,136.0,42.0,97.5,0.3037383177570093,True,86.0,0.5850340136054422,low
nah,9450,7642,12,241,0.04979253112033195,202.0,Nāhuatl,Nāhuatl,5872.0,17367.0,520141.0,3.0,22497.0,17.0,168.0,114.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
bpy,9385,7335,16,179,0.0893854748603352,120.0,Bishnupriya,বিষ্ণুপ্রিয়া মণিপুরী,25086.0,63368.0,893751.0,3.0,25472.0,15.0,41.0,32.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
kn,9135,5065,10733,411,26.114355231143552,112.0,Kannada,ಕನ್ನಡ,31287.0,138863.0,1205852.0,4.0,85715.0,234.0,2346.0,102.0,62.0,26.0,2630.0,169.0,58.5,0.1822429906542056,True,57.0,0.3877551020408163,low
sa,9005,6634,443,222,1.9954954954954955,158.0,Sanskrit,संस्कृतम्,12136.0,75393.0,484355.0,3.0,39535.0,38.0,445.0,174.0,0.0,0.0,0.0,25.0,120.5,0.37538940809968846,False,,1.0,low
ckb,8866,5287,2985,696,4.288793103448276,98.0,Central Kurdish,کوردی,53896.0,217579.0,1193996.0,8.0,61088.0,163.0,2543.0,50.0,64.0,16.0,971.0,97.0,70.0,0.21806853582554517,True,66.0,0.4489795918367347,low
als,8671,5447,2064,458,4.506550218340611,114.0,Alemannic,Alemannisch,30252.0,72730.0,1045444.0,9.0,103056.0,80.0,590.0,28.0,8.0,3.0,464.0,50.0,91.5,0.2850467289719626,True,93.0,0.6326530612244898,low
nrm,7474,5815,4,173,0.023121387283236993,211.0,Norman,Nouormand,4933.0,10527.0,220082.0,2.0,13478.0,15.0,0.0,26.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
azb,7458,5172,2084,1619,1.2872143298332304,45.0,South Azerbaijani,تۆرکجه,243400.0,577139.0,1556140.0,4.0,48247.0,106.0,333.0,5.0,19.0,9.0,400.0,40.0,101.0,0.3146417445482866,True,81.5,0.5544217687074829,low
ia,7366,5470,665,277,2.4007220216606497,115.0,Interlingua,interlingua,29492.0,44653.0,666428.0,6.0,50205.0,42.0,4.0,3.0,7.0,5.0,116.0,36.0,102.5,0.31931464174454827,True,118.0,0.8027210884353742,low
my,7234,4327,3123,457,6.833698030634573,71.0,Burmese,မြန်မာဘာသာ,107440.0,239151.0,822700.0,4.0,118353.0,141.0,2942.0,5.0,47.0,11.0,807.0,67.0,78.5,0.24454828660436137,True,72.0,0.4897959183673469,low
map-bms,7168,5979,75,169,0.4437869822485207,150.0,Basa Banyumasan,Basa Banyumasan,13913.0,30362.0,219945.0,1.0,16787.0,18.0,461.0,10.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
os,6914,5253,45,298,0.15100671140939598,132.0,Ossetic,ирон,17970.0,65869.0,551654.0,3.0,24697.0,29.0,155.0,59.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
