lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
rn,215,181,3,10,0.3,312.0,Rundi,ikirundi,643.0,2546.0,23783.0,1.0,9933.0,12.0,0.0,81.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
anp,213,120,151,27,5.592592592592593,269.0,Angika,अंगिका,1639.0,4506.0,19583.0,2.0,1491.0,15.0,0.0,13.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
xh,201,152,47,26,1.8076923076923077,257.0,Xhosa,isiXhosa,1909.0,4915.0,36471.0,1.0,13246.0,28.0,0.0,18.0,0.0,0.0,0.0,12.0,161.5,0.5031152647975078,False,,1.0,low
tpi,191,139,17,13,1.3076923076923077,274.0,Tok Pisin,Tok Pisin,1370.0,5722.0,87370.0,1.0,13733.0,22.0,0.0,154.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
tum,186,139,180,10,18.0,131.0,Tumbuka,chiTumbuka,18633.0,38571.0,102471.0,2.0,8498.0,7.0,140.0,3.0,6.0,3.0,70.0,3.0,276.0,0.8598130841121495,True,147.0,1.0,low
guw,180,45,1,9,0.1111111111111111,282.0,Gun,gungbe,1238.0,2302.0,36901.0,2.0,1374.0,12.0,0.0,11.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
gur,177,65,69,12,5.75,303.0,Frafra,farefare,888.0,2326.0,15059.0,1.0,970.0,11.0,0.0,16.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
trv,175,44,7,11,0.6363636363636364,287.0,Taroko,Seediq,1146.0,2084.0,98799.0,1.0,1969.0,7.0,0.0,31.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
tn,170,20,79,10,7.9,278.0,Tswana,Setswana,1298.0,4884.0,35086.0,2.0,10378.0,16.0,4.0,54.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
pcm,169,23,6,8,0.75,292.0,Nigerian Pidgin,Naijá,1094.0,2155.0,24204.0,4.0,1519.0,14.0,0.0,10.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
dty,166,78,272,23,11.826086956521738,233.0,Doteli,डोटेली,3401.0,20503.0,240782.0,3.0,6608.0,18.0,3.0,296.0,4.0,3.0,165.0,9.0,189.0,0.5887850467289719,True,137.5,0.935374149659864,low
cbk-zam,166,134,9,9,1.0,235.0,Chavacano,Chavacano de Zamboanga,3181.0,8327.0,114502.0,1.0,14660.0,10.0,0.0,35.0,0.0,0.0,0.0,6.0,236.0,0.735202492211838,False,,1.0,low
awa,159,61,45,22,2.0454545454545454,249.0,Awadhi,अवधी,2452.0,5640.0,26002.0,1.0,3023.0,13.0,0.0,7.0,7.0,2.0,30.0,3.0,276.0,0.8598130841121495,True,144.0,0.9795918367346939,low
tay,158,109,26,18,1.4444444444444444,245.0,Tayal,Tayal,2569.0,3107.0,58160.0,1.0,1805.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
gor,156,78,117,28,4.178571428571429,146.0,Gorontalo,Bahasa Hulontalo,14763.0,22908.0,56005.0,2.0,5501.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
din,152,104,8,17,0.47058823529411764,322.0,Dinka,Thuɔŋjäŋ,314.0,1096.0,8606.0,1.0,6441.0,9.0,0.0,48.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
gag,151,117,115,11,10.454545454545455,240.0,Gagauz,Gagauz,2807.0,6643.0,69074.0,1.0,14357.0,18.0,0.0,19.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
st,151,131,25,10,2.5,299.0,Southern Sotho,Sesotho,946.0,4506.0,30075.0,1.0,10604.0,20.0,0.0,94.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
bi,146,108,2,16,0.125,273.0,Bislama,Bislama,1449.0,3389.0,42957.0,1.0,13512.0,15.0,0.0,22.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
zgh,144,82,6,12,0.5,262.0,Standard Moroccan Tamazight,ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ,1747.0,3836.0,29151.0,3.0,981.0,25.0,0.0,10.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
ss,144,91,15,6,2.5,302.0,Swati,SiSwati,893.0,2832.0,39840.0,3.0,8688.0,18.0,0.0,66.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
mad,143,77,2,17,0.11764705882352941,285.0,Madurese,Madhurâ,1187.0,2334.0,16054.0,2.0,2607.0,45.0,0.0,6.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
ff,138,105,39,27,1.4444444444444444,256.0,Fula,Fulfulde,1921.0,5112.0,38317.0,2.0,9318.0,23.0,0.0,20.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
ts,131,33,881,12,73.41666666666667,307.0,Tsonga,Xitsonga,755.0,3894.0,37906.0,2.0,10282.0,17.0,0.0,168.0,34.0,5.0,514.0,8.0,206.5,0.6433021806853583,True,140.5,0.95578231292517,low
blk,130,49,36,11,3.272727272727273,244.0,Pa'O,ပအိုဝ်ႏဘာႏသာႏ,2636.0,6912.0,29026.0,1.0,1469.0,9.0,0.0,11.0,0.0,0.0,0.0,4.0,260.0,0.8099688473520249,False,,1.0,low
ti,121,90,41,8,5.125,323.0,Tigrinya,ትግርኛ,289.0,2887.0,24685.0,1.0,9669.0,12.0,0.0,690.0,0.0,0.0,0.0,7.0,222.5,0.6931464174454829,False,,1.0,low
gpe,120,35,110,5,22.0,298.0,Ghanaian Pidgin,Ghanaian Pidgin,953.0,3618.0,26120.0,2.0,982.0,8.0,0.0,56.0,3.0,3.0,13.0,2.0,294.0,0.9158878504672897,True,146.0,0.9931972789115646,low
dz,115,95,0,4,0.0,324.0,Dzongkha,ཇོང་ཁ,245.0,2679.0,31355.0,1.0,10688.0,10.0,0.0,1155.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
kg,103,75,2,16,0.125,280.0,Kongo,Kongo,1288.0,3470.0,45314.0,1.0,11109.0,9.0,0.0,37.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
nia,102,39,111,9,12.333333333333334,268.0,Nias,Li Niha,1673.0,4123.0,22241.0,3.0,1863.0,10.0,0.0,11.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
skr,98,79,20,24,0.8333333333333334,200.0,Saraiki,سرائیکی,6017.0,7990.0,32329.0,3.0,2381.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
bbc,86,46,14,6,2.3333333333333335,310.0,Batak Toba,Batak Toba,716.0,1150.0,9376.0,1.0,630.0,10.0,0.0,2.0,0.0,0.0,0.0,3.0,276.0,0.8598130841121495,False,,1.0,low
ny,72,45,33,7,4.714285714285714,296.0,Nyanja,Chi-Chewa,1026.0,4707.0,42129.0,3.0,10689.0,15.0,0.0,115.0,0.0,0.0,0.0,9.0,189.0,0.5887850467289719,False,,1.0,low
ch,66,59,0,5,0.0,315.0,Chamorro,Chamoru,553.0,2527.0,23960.0,1.0,16004.0,18.0,0.0,120.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
alt,56,19,23,4,5.75,291.0,Southern Altai,алтай тил,1094.0,6170.0,46301.0,4.0,2835.0,18.0,0.0,161.0,0.0,0.0,0.0,2.0,294.0,0.9158878504672897,False,,1.0,low
lg,54,39,46,12,3.8333333333333335,239.0,Ganda,Luganda,2876.0,6768.0,31661.0,2.0,8617.0,8.0,0.0,8.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
ee,49,35,7,28,0.25,305.0,Ewe,eʋegbe,845.0,3775.0,55446.0,2.0,14792.0,28.0,0.0,176.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
pag,41,26,142,7,20.285714285714285,246.0,Pangasinan,Pangasinan,2565.0,6594.0,77262.0,1.0,8403.0,11.0,0.0,28.0,0.0,0.0,0.0,5.0,247.5,0.7710280373831776,False,,1.0,low
ve,37,30,25,3,8.333333333333334,308.0,Venda,Tshivenda,751.0,2264.0,20040.0,1.0,8068.0,8.0,0.0,35.0,0.0,0.0,0.0,10.0,174.5,0.543613707165109,False,,1.0,low
ki,24,17,0,5,0.0,266.0,Kikuyu,Gĩkũyũ,1695.0,3349.0,21605.0,1.0,8964.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
nqo,24,11,0,7,0.0,272.0,N’Ko,ߒߞߏ,1494.0,3255.0,11480.0,2.0,4040.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
sg,21,17,0,17,0.0,321.0,Sango,Sängö,324.0,1999.0,20967.0,2.0,6730.0,9.0,0.0,280.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
ady,17,10,3,5,0.6,314.0,Adyghe,адыгабзэ,558.0,3890.0,14657.0,1.0,7423.0,15.0,0.0,134.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
fon,15,11,1,1,1.0,309.0,Fon,fɔ̀ngbè,736.0,1727.0,13966.0,3.0,625.0,22.0,0.0,14.0,0.0,0.0,0.0,1.0,309.0,0.9626168224299065,False,,1.0,low
fat,14,8,0,1,0.0,317.0,Fanti,mfantse,539.0,1499.0,10069.0,1.0,829.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
ii,3,3,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
